account_id,total_amount,total_balance,transaction_count,Trans Withdrawal_x,Trans_Credit,Trans_Debit,Collection From Other Bank,Credit Card Withdrawal,Credit in Cash,Interest,Remittance From Other Bank,Trans Withdrawal_y,Household Payment,Insurance Payment,Interest Credit,Loan Payment,Old age Pension Payment,Payment of Statement,Sanction Negative Bal.,Standard Payment
1,375174.5,3822568.0,239,0,102,137,45,0,12,45,40,97,40,0,45,0,0,40,0,114
2,6302958.6,34932913.4,956,42,304,610,140,0,24,140,178,474,130,0,140,48,0,130,0,508
3,590043.6,6311800.6,234,0,92,142,0,0,56,36,78,64,26,26,36,0,0,26,0,94
4,350971.4,4046141.0,186,0,65,121,34,0,1,30,59,62,29,0,30,0,34,29,0,34
5,166881.4,2107565.8,84,0,35,49,19,0,1,15,14,35,14,0,15,0,19,14,0,22
6,647567.1,8498647.9,246,0,99,147,51,0,1,47,47,100,47,0,47,0,51,46,0,55
7,1192039.9,8137816.9,130,0,51,79,0,1,26,25,20,58,20,0,25,0,0,20,0,65
8,3425812.2,23784261.8,508,0,168,340,0,0,90,78,138,202,70,0,78,0,0,68,0,224
9,696434.1,9611744.3,361,0,183,178,0,0,112,71,0,178,0,0,71,0,0,67,0,223
10,1040605.1,7455571.8,156,0,59,97,0,0,31,28,23,74,23,0,28,0,0,23,0,82
11,258100.1,5177226.3,186,0,79,107,39,0,1,39,35,72,0,0,39,0,0,34,0,113
12,433502.6,4270252.8,212,0,78,134,40,0,2,36,60,74,30,0,36,0,40,30,0,46
13,416428.0,2268075.0,150,0,62,88,32,0,2,28,22,66,22,0,28,0,32,22,0,46
14,785858.0,4910850.5,124,0,52,72,0,6,27,25,20,46,20,0,25,0,0,20,0,59
15,2329572.9,14105508.5,365,0,129,236,0,0,66,63,59,177,59,0,63,0,0,58,0,185
16,661403.9,1776046.1,60,0,32,28,0,0,17,15,0,28,0,0,15,0,0,10,0,35
17,826098.4,5485492.4,108,4,66,38,0,0,32,34,4,38,4,0,34,0,0,2,0,68
18,3728698.3,17143714.9,328,40,156,132,0,0,96,60,0,172,0,0,60,0,0,55,0,213
19,1575515.9,4924680.2,303,3,152,148,45,0,17,90,8,143,32,0,90,8,0,40,8,125
20,154748.1,1810074.0,116,0,53,63,28,0,1,24,24,39,24,0,24,0,0,23,0,45
21,298432.3,2187745.0,62,0,34,28,0,0,21,13,9,19,9,0,13,0,0,8,0,32
22,2099466.5,12615272.2,310,0,118,192,0,0,61,57,52,140,52,0,57,0,0,52,0,149
23,3195860.0,19356963.4,370,0,137,233,0,0,70,67,62,171,62,0,67,0,0,62,0,179
24,688130.6,3876250.3,140,0,52,88,0,0,27,25,42,46,21,0,25,0,0,20,0,53
25,2958545.1,15420481.2,274,8,82,184,0,0,54,28,93,99,27,27,28,12,0,26,0,127
26,3471037.4,11534793.5,351,14,133,204,65,0,3,65,60,158,60,0,65,0,0,60,0,166
27,1204954.1,8008129.7,352,0,135,217,0,0,72,63,58,159,58,0,63,0,0,58,0,173
29,3771869.4,23583656.0,734,0,200,534,0,0,102,98,268,266,88,90,98,0,0,88,0,280
